chicken,egg,chicken:1,egg:1,chicken:2,egg:2,chicken:3,egg:3
444523.0,3255.0,436815.0,3327.0,449743.0,3532.0,468491.0,3581.0
433937.0,3156.0,444523.0,3255.0,436815.0,3327.0,449743.0,3532.0
389958.0,3081.0,433937.0,3156.0,444523.0,3255.0,436815.0,3327.0
403446.0,3166.0,389958.0,3081.0,433937.0,3156.0,444523.0,3255.0
423921.0,3443.0,403446.0,3166.0,389958.0,3081.0,433937.0,3156.0
389624.0,3424.0,423921.0,3443.0,403446.0,3166.0,389958.0,3081.0
418591.0,3561.0,389624.0,3424.0,423921.0,3443.0,403446.0,3166.0
438288.0,3640.0,418591.0,3561.0,389624.0,3424.0,423921.0,3443.0
422841.0,3840.0,438288.0,3640.0,418591.0,3561.0,389624.0,3424.0
476935.0,4456.0,422841.0,3840.0,438288.0,3640.0,418591.0,3561.0
542047.0,5000.0,476935.0,4456.0,422841.0,3840.0,438288.0,3640.0
582197.0,5366.0,542047.0,5000.0,476935.0,4456.0,422841.0,3840.0
516497.0,5154.0,582197.0,5366.0,542047.0,5000.0,476935.0,4456.0
523227.0,5130.0,516497.0,5154.0,582197.0,5366.0,542047.0,5000.0
467217.0,5077.0,523227.0,5130.0,516497.0,5154.0,582197.0,5366.0
499644.0,5032.0,467217.0,5077.0,523227.0,5130.0,516497.0,5154.0
430876.0,5148.0,499644.0,5032.0,467217.0,5077.0,523227.0,5130.0
456549.0,5404.0,430876.0,5148.0,499644.0,5032.0,467217.0,5077.0
430988.0,5322.0,456549.0,5404.0,430876.0,5148.0,499644.0,5032.0
426555.0,5323.0,430988.0,5322.0,456549.0,5404.0,430876.0,5148.0
398156.0,5307.0,426555.0,5323.0,430988.0,5322.0,456549.0,5404.0
396776.0,5402.0,398156.0,5307.0,426555.0,5323.0,430988.0,5322.0
390708.0,5407.0,396776.0,5402.0,398156.0,5307.0,426555.0,5323.0
383690.0,5500.0,390708.0,5407.0,396776.0,5402.0,398156.0,5307.0
391363.0,5442.0,383690.0,5500.0,390708.0,5407.0,396776.0,5402.0
374281.0,5442.0,391363.0,5442.0,383690.0,5500.0,390708.0,5407.0
387002.0,5542.0,374281.0,5442.0,391363.0,5442.0,383690.0,5500.0
369484.0,5339.0,387002.0,5542.0,374281.0,5442.0,391363.0,5442.0
366082.0,5358.0,369484.0,5339.0,387002.0,5542.0,374281.0,5442.0
377392.0,5403.0,366082.0,5358.0,369484.0,5339.0,387002.0,5542.0
375575.0,5345.0,377392.0,5403.0,366082.0,5358.0,369484.0,5339.0
382262.0,5435.0,375575.0,5345.0,377392.0,5403.0,366082.0,5358.0
394118.0,5474.0,382262.0,5435.0,375575.0,5345.0,377392.0,5403.0
393019.0,5540.0,394118.0,5474.0,382262.0,5435.0,375575.0,5345.0
